name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
AMERICAN AIRLINES GROUP INC.,2015.0,FY,-1834000000.0,,,,
"AMERICAN APPAREL, INC",2015.0,Q3,-19184000.0,,,,
"AMERICAN ASSETS TRUST, INC.",2015.0,FY,15220000.0,255057000.0,,,0.05967293585355431
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,2015.0,FY,94500000.0,,,,
AMERICAN BIO MEDICA CORP,2015.0,FY,-490000.0,,,,
AMERICAN BRIVISION (HOLDING) CORP,2016.0,Q1,-1030.0,,,,
AMERICAN CAMPUS COMMUNITIES INC,2015.0,FY,104644000.0,657462000.0,,,0.15916357143074428
AMERICAN CAPITAL AGENCY CORP,2015.0,FY,1259000000.0,,,,
AMERICAN CAPITAL MORTGAGE INVESTMENT CORP.,2015.0,FY,-84470000.0,,,,
"AMERICAN CARESOURCE HOLDINGS, INC.",2015.0,FY,-6763000.0,,,,
AMERICAN CASINO & ENTERTAINMENT PROPERTIES LLC,2015.0,FY,-15135000.0,337435000.0,,,-0.04485308281594974
AMERICAN CHURCH MORTGAGE CO,2015.0,FY,71144.0,,,,
AMERICAN COMMERCE SOLUTIONS INC,2015.0,Q3,-40265.0,599957.0,,,-0.06711314310858944
AMERICAN CRYOSTEM CORP,2015.0,FY,-2088149.0,,,,
AMERICAN CRYOSTEM CORP,2016.0,Q1,-241932.0,,,,
AMERICAN DG ENERGY INC,2015.0,FY,-5888894.0,,,,
AMERICAN EAGLE OUTFITTERS INC,2015.0,FY,82983000.0,,,,
AMERICAN ELECTRIC POWER CO INC,2015.0,FY,,14813500000.0,,,
AMERICAN ELECTRIC TECHNOLOGIES INC,2015.0,FY,-4727000.0,,,,
AMERICAN ENERGY GROUP LTD,2016.0,Q2,-156240.0,,,,
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,2015.0,FY,253283000.0,2610692000.0,,,0.0970175723524644
AMERICAN EXPRESS CO,2015.0,FY,5359000000.0,,,,
AMERICAN EXPRESS CREDIT CORP,2015.0,FY,446000000.0,1007000000.0,,,0.4428997020854022
AMERICAN FARMLAND CO,2015.0,FY,553451.0,,,,
"AMERICAN FINANCE TRUST, INC",2015.0,FY,-29000.0,0.0,,,-inf
AMERICAN FINANCIAL GROUP INC,2015.0,FY,471000000.0,5103000000.0,,,0.09229864785420341
AMERICAN GENE ENGINEER CORP,2015.0,FY,-151600.0,6000.0,,,-25.266666666666666
AMERICAN GENE ENGINEER CORP,2016.0,Q1,-31253.0,,,0.0,
AMERICAN GRAPHITE TECHNOLOGIES INC.,2016.0,Q2,-85170.0,0.0,,,-inf
AMERICAN GREETINGS CORP,2015.0,Q3,11261000.0,514058000.0,,,0.02190608841803843
AMERICAN HONDA FINANCE CORP,2015.0,Q3,194000000.0,,,,
"AMERICAN HOUSING INCOME TRUST, INC.",2015.0,FY,-1481102.0,290958.0,,,-5.090432296070223
AMERICAN INTERNATIONAL GROUP INC,2015.0,FY,9085000000.0,68874000000.0,,,0.1319075413073148
AMERICAN INTERNATIONAL INDUSTRIES INC,2015.0,Q3,536639.0,9016.0,,,59.52074090505768
